name,equipment,primary_muscle,secondary_muscle,video,thumbnail,howTo
Bench Press (Barbell),Barbell,Chest,"Triceps, Shoulders",assets/media/exercises/ex_0001_video.mp4,assets/media/exercises/ex_0001_thumbnail.jpg,"1. Lie on the bench. | 2. Extend your arms and grab the bar evenly, having your hands slightly wider than shoulder-width apart. | 3. Bring your shoulder blades back and dig them into the bench. | 4. Arch your lower back and plant your feet flat on the floor. | 5. Take a breath, unrack the bar, and bring it over your chest. | 6. Inhale again and lower the barbell to your lower chest, tapping it slightly. | 7. Hold for a moment and press the bar until your elbows are straight. Exhale."
Bench Press (Dumbbell),Dumbbell,Chest,"Triceps, Shoulders",assets/media/exercises/ex_0002_video.mp4,assets/media/exercises/ex_0002_thumbnail.jpg,"1. Grab a pair of dumbbells, sit on a flat gym bench, and place both weights on top of your thighs. | 2. Bring your shoulders back, engage your abs, take a breath, and flex your arms. | 3. Kick both dumbbells up with your thighs as you lie back. | 4. With your arms straight and dumbbells over your chest, dig your shoulder blades into the bench and place your feet flat on the floor. | 5. Take another breath and lower both dumbbells to your sides. Keep your elbows somewhat tucked. | 6. Lower the weights until your elbows are at torso level. | 7. Press both dumbbells to the starting position, bringing them together as you exhale."
Bent Over Row (Barbell),Barbell,Upper Back,"Lats, Biceps, Forearms",assets/media/exercises/ex_0003_video.mp4,assets/media/exercises/ex_0003_thumbnail.jpg,"1. Stand in front of a loaded barbell with your feet in a comfortable stance and toes pointing slightly out. | 2. Lean forward by hinging at the hip and keep your spine in a neutral position. | 3. Grab the barbell with an even overhand grip. | 4. Engage your abs and lift the bar several inches off the floor. | 5. With your shoulders back and midsection tight, take a breath and row the barbell. | 6. Lift the bar until it taps your stomach and hold the position for a moment as you exhale. | 7. Lower the bar slowly."
Bicep Curl (Dumbbell),Dumbbell,Biceps,None,assets/media/exercises/ex_0004_video.mp4,assets/media/exercises/ex_0004_thumbnail.jpg,1. Grab a pair of dumbbells and stand tall with your feet in a comfortable stance and shoulders retracted. | 2. Have your wrists pointing forward and your arms extended. | 3. Take a breath and curl both dumbbells simultaneously. Lift the weights until your wrists are slightly higher than your elbows and exhale. | 4. Extend your arms slowly and breathe in on the way down.
Cable Fly Crossovers,Machine,Chest,None,assets/media/exercises/ex_0005_video.mp4,assets/media/exercises/ex_0005_thumbnail.jpg,"1. Adjust the load on the pair of weight stacks inside the cable crossover machine. | 2. Set the pulleys in the highest position and attach handles on both. | 3. Grab the handles one at a time and position yourself in the middle between the two pillars. | 4. Bring your arms to your sides and take a half step forward to lift the weights from their stacks. | 5. Engage your abs, bring your shoulders back, and inhale. | 6. Bring your arms in and down, meeting your knuckles in front of your hips. Exhale. | 7. Hold for a moment and bring your arms to your sides as you breathe in."
Deadlift (Barbell),Barbell,Glutes,"Hamstrings, Quadriceps, Lower Back, Upper Back, Lats, Traps",assets/media/exercises/ex_0006_video.mp4,assets/media/exercises/ex_0006_thumbnail.jpg,"1. Stand in front of a loaded barbell. | 2. The bar should be over mid-foot, your shins should be an inch or two from the bar, and your feet should be hip-width apart, with toes pointing slightly out. | 3. Lean forward and grab the bar with a double overhand grip. | 4. Bend your knees to position your shins against the bar. Simultaneously, retract your shoulders to straighten your back. | 5. Take a breath. | 6. Initiate the pull by digging your heels into the floor. | 7. Lift the bar in a straight vertical line, keeping it close to your body. | 8. As the bar passes your knees, begin to extend your legs and drive your hips forward to complete the repetition. | 9. Begin the descent by driving your buttocks back and keeping your back neutral. | 10. Lower the barbell in the same vertical line, exhaling near the bottom."
Face Pull,Machine,Shoulders,Biceps,assets/media/exercises/ex_0007_video.mp4,assets/media/exercises/ex_0007_thumbnail.jpg,"1. Select a light load, set the pulley to a high position, and attach a rope. | 2. Grab the rope with your thumbs facing the ceiling. | 3. Take a step back to lift the weight off its stack, bring your shoulders back, and stagger your stance for extra support. | 4. Take a breath and pull the rope to your face, splitting it by bringing your arms to your sides. Breathe out. | 5. Extend your arms as you breathe in."
Hammer Curl (Dumbbell),Dumbbell,Biceps,Forearms,assets/media/exercises/ex_0008_video.mp4,assets/media/exercises/ex_0008_thumbnail.jpg,"1. Grab a pair of dumbbells and stand tall. | 2. Position your arms to your sides with your wrists neutral (palms facing your body). | 3. Bring your shoulders back and take a breath. | 4. Curl both dumbbells simultaneously, lifting them until your wrists are slightly higher than your elbows. Exhale. | 5. Extend your arms fully as you breathe in."
Incline Bench Press (Dumbbell),Dumbbell,Chest,"Triceps, Shoulders",assets/media/exercises/ex_0009_video.mp4,assets/media/exercises/ex_0009_thumbnail.jpg,"1. Set the incline of a bench at 45 degrees, grab a pair of dumbbells, and sit down. | 2. Place the dumbbells on top of your thighs, and lie back as you kick the weights up and over your torso. | 3. Bring the dumbbells to your sides, plant your feet on the floor, retract your shoulders, and take a breath. Keep your elbows somewhat tucked in. | 4. Press both dumbbells toward the ceiling, tapping them lightly at the top. Breathe out. | 5. Lower the weights to your sides, breathing in on the way down."
Lat Pulldown (Cable),Machine,Lats,"Upper Back, Biceps, Forearms",assets/media/exercises/ex_0010_video.mp4,assets/media/exercises/ex_0010_thumbnail.jpg,"1. Adjust the knee pad on the machine to be right against your thighs. | 2. Select a weight you can lift for at least ten smooth reps. | 3. Grab the bar with your hands slightly wider than shoulder-width apart. Your palms should face forward. | 4. Sit down and secure your legs underneath the pad. | 5. With your arms extended, bring your shoulders back and down. | 6. Take a breath and pull the weight down through your elbows. As you pull, keep your elbows tucked and in line with your torso. Breathe out. | 7. Hold for a moment and extend your arms fully as you breathe in."
